GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.visiplus.backend.models,Priorite,0,17,0,0,0,7,0,5,0,5
backend,com.visiplus.backend.models,Tache,0,73,0,0,0,31,0,21,0,21
backend,com.visiplus.backend.models,Role,0,73,0,0,0,31,0,21,0,21
backend,com.visiplus.backend.models,UserRoleProjet,4,27,0,0,2,11,1,8,1,8
backend,com.visiplus.backend.models,Projet,8,62,0,0,4,23,2,16,2,16
backend,com.visiplus.backend.models,Utilisateur,19,69,0,0,9,25,5,17,5,17
backend,com.visiplus.backend,CorsConfig,0,51,0,0,0,7,0,2,0,2
backend,com.visiplus.backend,BackendApplication,7,3,0,0,3,1,2,1,2,1
backend,com.visiplus.backend.dto,LoginRequest,0,24,0,0,0,10,0,7,0,7
backend,com.visiplus.backend.dto,ProjetResponseDTO,53,0,0,0,17,0,11,0,11,0
backend,com.visiplus.backend.dto,ProjetRequest.RoleProject,0,21,0,0,0,4,0,1,0,1
backend,com.visiplus.backend.dto,RoleDTO,25,0,0,0,10,0,5,0,5,0
backend,com.visiplus.backend.dto,ProjetRequest,0,45,0,0,0,19,0,13,0,13
backend,com.visiplus.backend.dto,TacheRequest,22,73,0,0,1,31,1,21,1,21
backend,com.visiplus.backend.dto,UtilisateurProjetDTO,23,0,0,0,10,0,5,0,5,0
backend,com.visiplus.backend.dto,UtilisateurDTO,58,0,0,0,22,0,11,0,11,0
backend,com.visiplus.backend.dto,UtilisateurLightDTO,58,0,0,0,22,0,11,0,11,0
backend,com.visiplus.backend.dto,UtilisateurProjetRoleDTO,12,21,0,0,6,8,3,4,3,4
backend,com.visiplus.backend.dto,UtilisateurRoleDTO,23,0,0,0,10,0,5,0,5,0
backend,com.visiplus.backend.services.impl,PrioriteServiceImpl,18,24,1,1,5,6,4,3,3,3
backend,com.visiplus.backend.services.impl,UserRoleProjetImpl,9,3,0,0,2,1,2,1,2,1
backend,com.visiplus.backend.services.impl,RoleServiceImpl,0,14,0,0,0,3,0,3,0,3
backend,com.visiplus.backend.services.impl,ProjetServiceImpl,39,3,2,0,9,1,6,1,5,1
backend,com.visiplus.backend.services.impl,UtilisateurServiceImpl,73,29,10,2,15,7,12,3,6,3
backend,com.visiplus.backend.services.impl,TacheServiceImpl,121,3,16,0,27,1,15,1,7,1
backend,com.visiplus.backend.controllers,ProjetController,138,150,9,7,34,34,11,6,5,4
backend,com.visiplus.backend.controllers,TacheController,178,229,26,20,39,52,25,7,3,6
backend,com.visiplus.backend.controllers,UtilisateurController,126,223,18,20,30,49,20,7,3,5
backend,com.visiplus.backend.responses,ApiResponse,15,21,0,0,7,8,4,4,4,4
backend,com.visiplus.backend.initializer,DataInitializer,0,154,3,3,0,38,3,7,0,7
